Name,Type,Extensions,Reference,Source
"1C Enterprise","programming",".bsl .os","https://github.com/search?q=language%3A%221C%20Enterprise%22&type=repositories","linguist"
"2-Dimensional Array","data",".2da","https://github.com/search?q=language%3A%222-Dimensional%20Array%22&type=repositories","linguist"
"4D","programming",".4dm","https://github.com/search?q=language%3A%224D%22&type=repositories","linguist"
"ABAP","programming",".abap","https://community.sap.com/topics/abap","linguist"
"ABAP CDS","programming",".asddls","https://github.com/search?q=language%3A%22ABAP%20CDS%22&type=repositories","linguist"
"ABNF","data",".abnf","https://github.com/search?q=language%3A%22ABNF%22&type=repositories","linguist"
"ActionScript","programming",".as","https://github.com/search?q=language%3A%22ActionScript%22&type=repositories","linguist"
"Ada","programming",".adb .ada .ads","https://ada-lang.io","linguist"
"Adblock Filter List","data",".txt","https://github.com/search?q=language%3A%22Adblock%20Filter%20List%22&type=repositories","linguist"
"Adobe Font Metrics","data",".afm","https://github.com/search?q=language%3A%22Adobe%20Font%20Metrics%22&type=repositories","linguist"
"Agda","programming",".agda","https://wiki.portal.chalmers.se/agda/pmwiki.php","linguist"
"AGS Script","programming",".asc .ash","https://github.com/search?q=language%3A%22AGS%20Script%22&type=repositories","linguist"
"AIDL","programming",".aidl","https://github.com/search?q=language%3A%22AIDL%22&type=repositories","linguist"
"Aiken","programming",".ak","https://github.com/search?q=language%3A%22Aiken%22&type=repositories","linguist"
"AL","programming",".al","https://github.com/search?q=language%3A%22AL%22&type=repositories","linguist"
"Aleo","programming",".aleo","https://github.com/search?q=language%3A%22Aleo%22&type=repositories","linguist"
"ALGOL","programming",".alg","https://en.wikipedia.org/wiki/ALGOL","linguist"
"Alice","curated","","https://www.alice.org","curated"
"Alloy","programming",".als","https://github.com/search?q=language%3A%22Alloy%22&type=repositories","linguist"
"Alpine Abuild","programming","","https://github.com/search?q=language%3A%22Alpine%20Abuild%22&type=repositories","linguist"
"Altium Designer","data",".OutJob .PcbDoc .PrjPCB .SchDoc","https://github.com/search?q=language%3A%22Altium%20Designer%22&type=repositories","linguist"
"Amaranth HDL","curated","","https://amaranth-lang.org","curated"
"AMPL","programming",".ampl .mod","https://github.com/search?q=language%3A%22AMPL%22&type=repositories","linguist"
"AngelScript","programming",".as .angelscript","https://www.angelcode.com/angelscript/","linguist"
"Ansible YAML","curated","","https://docs.ansible.com","curated"
"Answer Set Programming","programming",".lp","https://github.com/search?q=language%3A%22Answer%20Set%20Programming%22&type=repositories","linguist"
"Ant Build System","data","","https://github.com/search?q=language%3A%22Ant%20Build%20System%22&type=repositories","linguist"
"Ante","curated","","https://antelang.org","curated"
"Antlers","markup",".antlers.html .antlers.php .antlers.xml","https://github.com/search?q=language%3A%22Antlers%22&type=repositories","linguist"
"ANTLR","programming",".g4","https://github.com/search?q=language%3A%22ANTLR%22&type=repositories","linguist"
"Apache Thrift","curated","","https://thrift.apache.org","curated"
"ApacheConf","data",".apacheconf .vhost","https://github.com/search?q=language%3A%22ApacheConf%22&type=repositories","linguist"
"Apex","programming",".cls .apex .trigger","https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/","linguist"
"API Blueprint","markup",".apib","https://github.com/search?q=language%3A%22API%20Blueprint%22&type=repositories","linguist"
"APL","programming",".apl .dyalog","https://aplwiki.com","linguist"
"Apollo Guidance Computer","programming",".agc","https://github.com/search?q=language%3A%22Apollo%20Guidance%20Computer%22&type=repositories","linguist"
"AppleScript","programming",".applescript .scpt","https://developer.apple.com/library/archive/documentation/AppleScript/Conceptual/AppleScriptLangGuide/introduction/ASLR_intro.html","linguist"
"Arc","programming",".arc","https://github.com/search?q=language%3A%22Arc%22&type=repositories","linguist"
"Arduino (C++)","curated","","https://www.arduino.cc/reference/en/","curated"
"ArkTS","programming",".ets","https://github.com/search?q=language%3A%22ArkTS%22&type=repositories","linguist"
"ARM Assembly","curated","","https://developer.arm.com/documentation","curated"
"ArnoldC","curated","","https://lhartikk.github.io/ArnoldC/","curated"
"AsciiDoc","prose",".asciidoc .adoc .asc","https://asciidoc.org","linguist"
"ASL","programming",".asl .dsl","https://github.com/search?q=language%3A%22ASL%22&type=repositories","linguist"
"ASN.1","data",".asn .asn1","https://github.com/search?q=language%3A%22ASN.1%22&type=repositories","linguist"
"ASP.NET","programming",".asax .ascx .ashx .asmx .aspx .axd","https://github.com/search?q=language%3A%22ASP.NET%22&type=repositories","linguist"
"AspectJ","programming",".aj","https://github.com/search?q=language%3A%22AspectJ%22&type=repositories","linguist"
"Assembler IBM/360","curated","","https://en.wikipedia.org/wiki/IBM_Basic_assembly_language_and_successors","curated"
"Assembly","programming",".asm .a51 .i .inc .nas .nasm .s","https://github.com/search?q=language%3A%22Assembly%22&type=repositories","linguist"
"Assembly x86","curated","","https://en.wikipedia.org/wiki/X86_assembly_language","curated"
"AssemblyScript","curated","","https://www.assemblyscript.org","curated"
"Astro","markup",".astro","https://astro.build","linguist"
"Asymptote","programming",".asy","https://github.com/search?q=language%3A%22Asymptote%22&type=repositories","linguist"
"ATS","programming",".dats .hats .sats","https://github.com/search?q=language%3A%22ATS%22&type=repositories","linguist"
"Augeas","programming",".aug","https://github.com/search?q=language%3A%22Augeas%22&type=repositories","linguist"
"Austral","curated","","https://austral-lang.org","curated"
"AutoHotkey","programming",".ahk .ah1 .ah2 .ahkl","https://www.autohotkey.com","linguist"
"AutoIt","programming",".au3","https://www.autoitscript.com","linguist"
"Avro IDL","data",".avdl","https://github.com/search?q=language%3A%22Avro%20IDL%22&type=repositories","linguist"
"AWK","programming",".awk .auk .gawk .mawk .nawk","https://www.gnu.org/software/gawk/manual/","linguist"
"B","programming",".b","https://en.wikipedia.org/wiki/B_(programming_language)","linguist"
"B (Formal Method)","programming",".mch","https://github.com/search?q=language%3A%22B%20(Formal%20Method)%22&type=repositories","linguist"
"B4X","programming",".bas","https://github.com/search?q=language%3A%22B4X%22&type=repositories","linguist"
"Ballerina","programming",".bal","https://ballerina.io","linguist"
"BAML","programming",".baml","https://github.com/search?q=language%3A%22BAML%22&type=repositories","linguist"
"Bash","curated","","https://www.gnu.org/software/bash/","curated"
"BASIC","programming",".bas","https://en.wikipedia.org/wiki/BASIC","linguist"
"Batch","curated","","https://learn.microsoft.com/windows-server/administration/windows-commands/windows-commands","curated"
"Batchfile","programming",".bat .cmd","https://github.com/search?q=language%3A%22Batchfile%22&type=repositories","linguist"
"Bazel","curated","","https://bazel.build","curated"
"BBCode","markup",".bbcode","https://github.com/search?q=language%3A%22BBCode%22&type=repositories","linguist"
"BCPL","curated","","https://en.wikipedia.org/wiki/BCPL","curated"
"Beef","programming",".bf","https://www.beeflang.org","linguist"
"Befunge","programming",".befunge .bf","https://en.wikipedia.org/wiki/Befunge","linguist"
"Bend","curated","","https://higherorderco.com","curated"
"Berry","programming",".be","https://github.com/search?q=language%3A%22Berry%22&type=repositories","linguist"
"BibTeX","markup",".bib .bibtex","https://www.bibtex.org","linguist"
"BibTeX Style","programming",".bst","https://github.com/search?q=language%3A%22BibTeX%20Style%22&type=repositories","linguist"
"Bicep","programming",".bicep .bicepparam","https://learn.microsoft.com/azure/azure-resource-manager/bicep/","linguist"
"Bikeshed","markup",".bs","https://github.com/search?q=language%3A%22Bikeshed%22&type=repositories","linguist"
"BIRD2","data","","https://github.com/search?q=language%3A%22BIRD2%22&type=repositories","linguist"
"Bison","programming",".bison","https://github.com/search?q=language%3A%22Bison%22&type=repositories","linguist"
"BitBake","programming",".bb .bbappend .bbclass .inc","https://github.com/search?q=language%3A%22BitBake%22&type=repositories","linguist"
"Bitcoin Script","curated","","https://en.wikipedia.org/wiki/Bitcoin_Script","curated"
"Bitsy","curated","","https://bitsy.org","curated"
"Blade","markup",".blade .blade.php","https://laravel.com/docs/blade","linguist"
"BlitzBasic","programming",".bb .decls","https://github.com/search?q=language%3A%22BlitzBasic%22&type=repositories","linguist"
"BlitzMax","programming",".bmx","https://github.com/search?q=language%3A%22BlitzMax%22&type=repositories","linguist"
"Blockly","curated","","https://developers.google.com/blockly","curated"
"Blueprint","markup",".blp","https://github.com/search?q=language%3A%22Blueprint%22&type=repositories","linguist"
"Blueprints","curated","","https://dev.epicgames.com/documentation/unreal-engine/blueprints-visual-scripting-in-unreal-engine","curated"
"Bluespec","programming",".bsv","https://en.wikipedia.org/wiki/Bluespec,_Inc.","linguist"
"Bluespec BH","programming",".bs","https://github.com/search?q=language%3A%22Bluespec%20BH%22&type=repositories","linguist"
"Boo","programming",".boo","https://en.wikipedia.org/wiki/Boo_(programming_language)","linguist"
"Boogie","programming",".bpl","https://github.com/search?q=language%3A%22Boogie%22&type=repositories","linguist"
"BQN","programming",".bqn","https://mlochbaum.github.io/BQN/","linguist"
"Brainfuck","programming",".b .bf","https://en.wikipedia.org/wiki/Brainfuck","linguist"
"BrighterScript","programming",".bs","https://github.com/search?q=language%3A%22BrighterScript%22&type=repositories","linguist"
"Brightscript","programming",".brs","https://github.com/search?q=language%3A%22Brightscript%22&type=repositories","linguist"
"Browserslist","data","","https://github.com/search?q=language%3A%22Browserslist%22&type=repositories","linguist"
"Bru","markup",".bru","https://github.com/search?q=language%3A%22Bru%22&type=repositories","linguist"
"BuildStream","data",".bst","https://github.com/search?q=language%3A%22BuildStream%22&type=repositories","linguist"
"C","programming",".c .cats .h .h.in .idc","https://en.wikipedia.org/wiki/C_(programming_language)","linguist"
"C-ObjDump","data",".c-objdump","https://github.com/search?q=language%3A%22C-ObjDump%22&type=repositories","linguist"
"C#","programming",".cs .cake .cs.pp .csx .linq","https://learn.microsoft.com/dotnet/csharp/","linguist"
"C# (Unity)","curated","","https://docs.unity3d.com/Manual/ScriptingSection.html","curated"
"C++","programming",".cpp .c++ .cc .cp .cppm .cxx .h .h++","https://isocpp.org","linguist"
"C++ (Unreal)","curated","","https://dev.epicgames.com/documentation/unreal-engine/programming-with-cplusplus-in-unreal-engine","curated"
"C2hs Haskell","programming",".chs","https://github.com/search?q=language%3A%22C2hs%20Haskell%22&type=repositories","linguist"
"C3","programming",".c3","https://c3-lang.org","linguist"
"Cabal Config","data",".cabal","https://github.com/search?q=language%3A%22Cabal%20Config%22&type=repositories","linguist"
"Caddyfile","data",".caddyfile","https://caddyserver.com/docs/caddyfile","linguist"
"Cadence","programming",".cdc","https://github.com/search?q=language%3A%22Cadence%22&type=repositories","linguist"
"Cairo","programming",".cairo","https://www.cairo-lang.org","linguist"
"Cairo Zero","programming",".cairo","https://github.com/search?q=language%3A%22Cairo%20Zero%22&type=repositories","linguist"
"CameLIGO","programming",".mligo","https://github.com/search?q=language%3A%22CameLIGO%22&type=repositories","linguist"
"Cangjie","programming",".cj","https://github.com/search?q=language%3A%22Cangjie%22&type=repositories","linguist"
"CAP CDS","programming",".cds","https://github.com/search?q=language%3A%22CAP%20CDS%22&type=repositories","linguist"
"Cap'n Proto","programming",".capnp","https://capnproto.org","linguist"
"Carbon","programming",".carbon","https://github.com/carbon-language/carbon-lang","linguist"
"CartoCSS","programming",".mss","https://github.com/search?q=language%3A%22CartoCSS%22&type=repositories","linguist"
"Ceylon","programming",".ceylon","https://en.wikipedia.org/wiki/Ceylon_(programming_language)","linguist"
"Chapel","programming",".chpl","https://chapel-lang.org","linguist"
"Charity","programming",".ch","https://github.com/search?q=language%3A%22Charity%22&type=repositories","linguist"
"Checksums","data",".crc32 .md2 .md4 .md5 .sha1 .sha2 .sha224 .sha256","https://github.com/search?q=language%3A%22Checksums%22&type=repositories","linguist"
"Chef","curated","","https://en.wikipedia.org/wiki/Chef_(programming_language)","curated"
"Chef (Ruby)","curated","","https://www.chef.io","curated"
"Chisel","curated","","https://www.chisel-lang.org","curated"
"ChucK","programming",".ck","https://github.com/search?q=language%3A%22ChucK%22&type=repositories","linguist"
"CIL","data",".cil","https://github.com/search?q=language%3A%22CIL%22&type=repositories","linguist"
"Circom","programming",".circom","https://github.com/search?q=language%3A%22Circom%22&type=repositories","linguist"
"CircuitPython","curated","","https://circuitpython.org","curated"
"Cirru","programming",".cirru","https://github.com/search?q=language%3A%22Cirru%22&type=repositories","linguist"
"Civet","curated","","https://civet.dev","curated"
"Clarion","programming",".clw","https://github.com/search?q=language%3A%22Clarion%22&type=repositories","linguist"
"Clarity","programming",".clar","https://clarity-lang.org","linguist"
"Classic ASP","programming",".asp","https://github.com/search?q=language%3A%22Classic%20ASP%22&type=repositories","linguist"
"Clean","programming",".icl .dcl","https://en.wikipedia.org/wiki/Clean_(programming_language)","linguist"
"Click","programming",".click","https://github.com/search?q=language%3A%22Click%22&type=repositories","linguist"
"CLIPS","programming",".clp","https://github.com/search?q=language%3A%22CLIPS%22&type=repositories","linguist"
"Clojure","programming",".clj .bb .boot .cl2 .cljc .cljs .cljs.hl .cljscm","https://clojure.org","linguist"
"Closure Templates","markup",".soy","https://github.com/search?q=language%3A%22Closure%20Templates%22&type=repositories","linguist"
"Cloud Firestore Security Rules","data","","https://github.com/search?q=language%3A%22Cloud%20Firestore%20Security%20Rules%22&type=repositories","linguist"
"CloudFormation","curated","","https://aws.amazon.com/cloudformation/","curated"
"CLU","curated","","https://en.wikipedia.org/wiki/CLU_(programming_language)","curated"
"Clue","programming",".clue","https://github.com/search?q=language%3A%22Clue%22&type=repositories","linguist"
"CMake","programming",".cmake .cmake.in","https://cmake.org","linguist"
"COBOL","programming",".cob .cbl .ccp .cobol .cpy","https://en.wikipedia.org/wiki/COBOL","linguist"
"Cobra","curated","","https://en.wikipedia.org/wiki/Cobra_(programming_language)","curated"
"CODEOWNERS","data","","https://github.com/search?q=language%3A%22CODEOWNERS%22&type=repositories","linguist"
"CodeQL","programming",".ql .qll","https://github.com/search?q=language%3A%22CodeQL%22&type=repositories","linguist"
"CoffeeScript","programming",".coffee ._coffee .cake .cjsx .coffee.erb .iced","https://coffeescript.org","linguist"
"ColdFusion","programming",".cfm .cfml","https://github.com/search?q=language%3A%22ColdFusion%22&type=repositories","linguist"
"ColdFusion CFC","programming",".cfc","https://github.com/search?q=language%3A%22ColdFusion%20CFC%22&type=repositories","linguist"
"COLLADA","data",".dae","https://github.com/search?q=language%3A%22COLLADA%22&type=repositories","linguist"
"Common Lisp","programming",".lisp .asd .cl .l .lsp .ny .podsl .sexp","https://lisp-lang.org","linguist"
"Common Workflow Language","programming",".cwl","https://github.com/search?q=language%3A%22Common%20Workflow%20Language%22&type=repositories","linguist"
"Component Pascal","programming",".cp .cps","https://github.com/search?q=language%3A%22Component%20Pascal%22&type=repositories","linguist"
"CoNLL-U","data",".conllu .conll","https://github.com/search?q=language%3A%22CoNLL-U%22&type=repositories","linguist"
"Cooklang","markup",".cook","https://github.com/search?q=language%3A%22Cooklang%22&type=repositories","linguist"
"Cool","programming",".cl","https://github.com/search?q=language%3A%22Cool%22&type=repositories","linguist"
"Coq / Rocq","curated","","https://rocq-prover.org","curated"
"Cpp-ObjDump","data",".cppobjdump .c++-objdump .c++objdump .cpp-objdump .cxx-objdump","https://github.com/search?q=language%3A%22Cpp-ObjDump%22&type=repositories","linguist"
"CQL","programming",".cql","https://github.com/search?q=language%3A%22CQL%22&type=repositories","linguist"
"Creole","prose",".creole","https://github.com/search?q=language%3A%22Creole%22&type=repositories","linguist"
"crontab","data","","https://github.com/search?q=language%3A%22crontab%22&type=repositories","linguist"
"Crystal","programming",".cr","https://crystal-lang.org","linguist"
"CSON","data",".cson","https://github.com/search?q=language%3A%22CSON%22&type=repositories","linguist"
"Csound","programming",".orc .udo","https://github.com/search?q=language%3A%22Csound%22&type=repositories","linguist"
"Csound Document","programming",".csd","https://github.com/search?q=language%3A%22Csound%20Document%22&type=repositories","linguist"
"Csound Score","programming",".sco","https://github.com/search?q=language%3A%22Csound%20Score%22&type=repositories","linguist"
"CSS","markup",".css","https://developer.mozilla.org/docs/Web/CSS","linguist"
"CSV","data",".csv","https://github.com/search?q=language%3A%22CSV%22&type=repositories","linguist"
"CUDA","programming",".cu .cuh","https://developer.nvidia.com/cuda-toolkit","linguist"
"CUE","programming",".cue","https://cuelang.org","linguist"
"Cue Sheet","data",".cue","https://github.com/search?q=language%3A%22Cue%20Sheet%22&type=repositories","linguist"
"cURL Config","data","","https://github.com/search?q=language%3A%22cURL%20Config%22&type=repositories","linguist"
"Curry","programming",".curry","https://en.wikipedia.org/wiki/Curry_(programming_language)","linguist"
"CWeb","programming",".w","https://github.com/search?q=language%3A%22CWeb%22&type=repositories","linguist"
"Cyclone","curated","","https://en.wikipedia.org/wiki/Cyclone_(programming_language)","curated"
"Cycript","programming",".cy","https://github.com/search?q=language%3A%22Cycript%22&type=repositories","linguist"
"Cylc","data",".cylc","https://github.com/search?q=language%3A%22Cylc%22&type=repositories","linguist"
"Cypher","programming",".cyp .cypher","https://neo4j.com/docs/cypher-manual/current/","linguist"
"Cython","programming",".pyx .pxd .pxi","https://github.com/search?q=language%3A%22Cython%22&type=repositories","linguist"
"D","programming",".d .di","https://dlang.org","linguist"
"D-ObjDump","data",".d-objdump","https://github.com/search?q=language%3A%22D-ObjDump%22&type=repositories","linguist"
"D2","markup",".d2","https://github.com/search?q=language%3A%22D2%22&type=repositories","linguist"
"Dafny","programming",".dfy","https://dafny.org","linguist"
"Darcs Patch","data",".darcspatch .dpatch","https://github.com/search?q=language%3A%22Darcs%20Patch%22&type=repositories","linguist"
"Dart","programming",".dart","https://dart.dev","linguist"
"Dart / Flutter","curated","","https://flutter.dev","curated"
"Daslang","programming",".das","https://github.com/search?q=language%3A%22Daslang%22&type=repositories","linguist"
"Datalog","curated","","https://en.wikipedia.org/wiki/Datalog","curated"
"DataWeave","programming",".dwl","https://github.com/search?q=language%3A%22DataWeave%22&type=repositories","linguist"
"dBase / Clipper","curated","","https://en.wikipedia.org/wiki/DBase","curated"
"Debian Package Control File","data",".dsc","https://github.com/search?q=language%3A%22Debian%20Package%20Control%20File%22&type=repositories","linguist"
"Delphi","curated","","https://www.embarcadero.com/products/delphi","curated"
"DenizenScript","programming",".dsc","https://github.com/search?q=language%3A%22DenizenScript%22&type=repositories","linguist"
"desktop","data",".desktop .desktop.in","https://github.com/search?q=language%3A%22desktop%22&type=repositories","linguist"
"Dhall","programming",".dhall","https://dhall-lang.org","linguist"
"Diff","data",".diff .patch","https://github.com/search?q=language%3A%22Diff%22&type=repositories","linguist"
"DIGITAL Command Language","programming",".com","https://github.com/search?q=language%3A%22DIGITAL%20Command%20Language%22&type=repositories","linguist"
"dircolors","data",".dircolors","https://github.com/search?q=language%3A%22dircolors%22&type=repositories","linguist"
"DirectX 3D File","data",".x","https://github.com/search?q=language%3A%22DirectX%203D%20File%22&type=repositories","linguist"
"DM","programming",".dm","https://github.com/search?q=language%3A%22DM%22&type=repositories","linguist"
"DNS Zone","data",".zone .arpa","https://github.com/search?q=language%3A%22DNS%20Zone%22&type=repositories","linguist"
"DocBook","curated","","https://docbook.org","curated"
"Docker Compose","curated","","https://docs.docker.com/compose/","curated"
"Dockerfile","programming",".dockerfile .containerfile","https://docs.docker.com/reference/dockerfile/","linguist"
"Dogescript","programming",".djs","https://github.com/search?q=language%3A%22Dogescript%22&type=repositories","linguist"
"Dotenv","data",".env","https://github.com/search?q=language%3A%22Dotenv%22&type=repositories","linguist"
"DTrace","programming",".d","https://github.com/search?q=language%3A%22DTrace%22&type=repositories","linguist"
"Dune","programming","","https://github.com/search?q=language%3A%22Dune%22&type=repositories","linguist"
"Dylan","programming",".dylan .dyl .intr .lid","https://opendylan.org","linguist"
"E","programming",".e","https://github.com/search?q=language%3A%22E%22&type=repositories","linguist"
"E-mail","data",".eml .mbox","https://github.com/search?q=language%3A%22E-mail%22&type=repositories","linguist"
"Eagle","data",".sch .brd","https://github.com/search?q=language%3A%22Eagle%22&type=repositories","linguist"
"Earthly","programming","","https://github.com/search?q=language%3A%22Earthly%22&type=repositories","linguist"
"Easybuild","data",".eb","https://github.com/search?q=language%3A%22Easybuild%22&type=repositories","linguist"
"EBNF","data",".ebnf","https://github.com/search?q=language%3A%22EBNF%22&type=repositories","linguist"
"eC","programming",".ec .eh","https://github.com/search?q=language%3A%22eC%22&type=repositories","linguist"
"Ecere Projects","data",".epj","https://github.com/search?q=language%3A%22Ecere%20Projects%22&type=repositories","linguist"
"ECL","programming",".ecl .eclxml","https://github.com/search?q=language%3A%22ECL%22&type=repositories","linguist"
"ECLiPSe","programming",".ecl","https://github.com/search?q=language%3A%22ECLiPSe%22&type=repositories","linguist"
"Ecmarkup","markup",".html","https://github.com/search?q=language%3A%22Ecmarkup%22&type=repositories","linguist"
"Edge","markup",".edge","https://github.com/search?q=language%3A%22Edge%22&type=repositories","linguist"
"EdgeQL","programming",".edgeql .esdl","https://github.com/search?q=language%3A%22EdgeQL%22&type=repositories","linguist"
"EditorConfig","data",".editorconfig","https://github.com/search?q=language%3A%22EditorConfig%22&type=repositories","linguist"
"Edje Data Collection","data",".edc","https://github.com/search?q=language%3A%22Edje%20Data%20Collection%22&type=repositories","linguist"
"edn","data",".edn","https://github.com/search?q=language%3A%22edn%22&type=repositories","linguist"
"Eiffel","programming",".e","https://www.eiffel.org","linguist"
"EJS","markup",".ejs .ect .ejs.t .jst","https://ejs.co","linguist"
"Elasticsearch DSL","curated","","https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl.html","curated"
"Electron (JS)","curated","","https://www.electronjs.org","curated"
"Elena","curated","","https://elena-lang.github.io","curated"
"Elixir","programming",".ex .exs","https://elixir-lang.org","linguist"
"Elm","programming",".elm","https://elm-lang.org","linguist"
"Elvish","programming",".elv","https://github.com/search?q=language%3A%22Elvish%22&type=repositories","linguist"
"Elvish Transcript","programming","","https://github.com/search?q=language%3A%22Elvish%20Transcript%22&type=repositories","linguist"
"Emacs Lisp","programming",".el .emacs .emacs.desktop","https://www.gnu.org/software/emacs/manual/elisp.html","linguist"
"Embedded Rust","curated","","https://www.rust-lang.org/what/embedded","curated"
"EmberScript","programming",".em .emberscript","https://github.com/search?q=language%3A%22EmberScript%22&type=repositories","linguist"
"Emojicode","curated","","https://www.emojicode.org","curated"
"EQ","programming",".eq","https://github.com/search?q=language%3A%22EQ%22&type=repositories","linguist"
"ERB","curated","","https://guides.rubyonrails.org/layouts_and_rendering.html","curated"
"Erlang","programming",".erl .app .app.src .es .escript .hrl .xrl .yrl","https://www.erlang.org","linguist"
"Euphoria","programming",".e .ex","https://github.com/search?q=language%3A%22Euphoria%22&type=repositories","linguist"
"Expect","curated","","https://en.wikipedia.org/wiki/Expect","curated"
"F*","programming",".fst .fsti","https://github.com/search?q=language%3A%22F*%22&type=repositories","linguist"
"F#","programming",".fs .fsi .fsx","https://fsharp.org","linguist"
"Factor","programming",".factor","https://factorcode.org","linguist"
"Falcon","curated","","https://en.wikipedia.org/wiki/Falcon_(programming_language)","curated"
"Fancy","programming",".fy .fancypack","https://github.com/search?q=language%3A%22Fancy%22&type=repositories","linguist"
"Fantom","programming",".fan","https://fantom.org","linguist"
"Faust","programming",".dsp","https://github.com/search?q=language%3A%22Faust%22&type=repositories","linguist"
"Fe","curated","","https://fe-lang.org","curated"
"Fennel","programming",".fnl","https://fennel-lang.org","linguist"
"FIGlet Font","data",".flf","https://github.com/search?q=language%3A%22FIGlet%20Font%22&type=repositories","linguist"
"Filebench WML","programming",".f","https://github.com/search?q=language%3A%22Filebench%20WML%22&type=repositories","linguist"
"Filterscript","programming",".fs","https://github.com/search?q=language%3A%22Filterscript%22&type=repositories","linguist"
"FIRRTL","programming",".fir","https://github.com/search?q=language%3A%22FIRRTL%22&type=repositories","linguist"
"Fish","programming",".fish","https://fishshell.com","linguist"
"FlatBuffers","data",".fbs","https://github.com/search?q=language%3A%22FlatBuffers%22&type=repositories","linguist"
"Flix","programming",".flix","https://github.com/search?q=language%3A%22Flix%22&type=repositories","linguist"
"Fluent","programming",".ftl","https://github.com/search?q=language%3A%22Fluent%22&type=repositories","linguist"
"FLUX","programming",".fx .flux","https://github.com/search?q=language%3A%22FLUX%22&type=repositories","linguist"
"Folders","curated","","https://esolangs.org/wiki/Folders","curated"
"Formatted","data",".for .eam.fs","https://github.com/search?q=language%3A%22Formatted%22&type=repositories","linguist"
"Forth","programming",".fth .4th .f .for .forth .fr .frt .fs","https://forth-standard.org","linguist"
"Fortran","programming",".f .f77 .for .fpp","https://fortran-lang.org","linguist"
"Fortran Free Form","programming",".f90 .f03 .f08 .f95","https://github.com/search?q=language%3A%22Fortran%20Free%20Form%22&type=repositories","linguist"
"FPP","programming",".fpp .fppi","https://github.com/search?q=language%3A%22FPP%22&type=repositories","linguist"
"FreeBASIC","programming",".bi .bas","https://github.com/search?q=language%3A%22FreeBASIC%22&type=repositories","linguist"
"FreeMarker","programming",".ftl .ftlh","https://github.com/search?q=language%3A%22FreeMarker%22&type=repositories","linguist"
"Frege","programming",".fr","https://github.com/Frege/frege","linguist"
"Futhark","programming",".fut","https://futhark-lang.org","linguist"
"G-code","programming",".g .cnc .gco .gcode","https://en.wikipedia.org/wiki/G-code","linguist"
"Game Maker Language","programming",".gml","https://github.com/search?q=language%3A%22Game%20Maker%20Language%22&type=repositories","linguist"
"GAML","programming",".gaml","https://github.com/search?q=language%3A%22GAML%22&type=repositories","linguist"
"GAMS","programming",".gms","https://github.com/search?q=language%3A%22GAMS%22&type=repositories","linguist"
"GAP","programming",".g .gap .gd .gi .tst","https://github.com/search?q=language%3A%22GAP%22&type=repositories","linguist"
"GAUSS","curated","","https://en.wikipedia.org/wiki/GAUSS_(software)","curated"
"GCC Machine Description","programming",".md","https://github.com/search?q=language%3A%22GCC%20Machine%20Description%22&type=repositories","linguist"
"GDB","programming",".gdb .gdbinit","https://github.com/search?q=language%3A%22GDB%22&type=repositories","linguist"
"GDScript","programming",".gd","https://docs.godotengine.org/en/stable/tutorials/scripting/gdscript/index.html","linguist"
"GDShader","programming",".gdshader .gdshaderinc","https://github.com/search?q=language%3A%22GDShader%22&type=repositories","linguist"
"GEDCOM","data",".ged","https://github.com/search?q=language%3A%22GEDCOM%22&type=repositories","linguist"
"Gemfile.lock","data","","https://github.com/search?q=language%3A%22Gemfile.lock%22&type=repositories","linguist"
"Gemini","prose",".gmi","https://github.com/search?q=language%3A%22Gemini%22&type=repositories","linguist"
"Genero 4gl","programming",".4gl","https://github.com/search?q=language%3A%22Genero%204gl%22&type=repositories","linguist"
"Genero per","markup",".per","https://github.com/search?q=language%3A%22Genero%20per%22&type=repositories","linguist"
"Genie","programming",".gs","https://en.wikipedia.org/wiki/Genie_(programming_language)","linguist"
"Genshi","programming",".kid","https://github.com/search?q=language%3A%22Genshi%22&type=repositories","linguist"
"Gentoo Ebuild","programming",".ebuild","https://github.com/search?q=language%3A%22Gentoo%20Ebuild%22&type=repositories","linguist"
"Gentoo Eclass","programming",".eclass","https://github.com/search?q=language%3A%22Gentoo%20Eclass%22&type=repositories","linguist"
"Gerber Image","data",".gbr .cmp .gbl .gbo .gbp .gbs .gko .gml","https://github.com/search?q=language%3A%22Gerber%20Image%22&type=repositories","linguist"
"Gettext Catalog","prose",".po .pot","https://github.com/search?q=language%3A%22Gettext%20Catalog%22&type=repositories","linguist"
"Gherkin","programming",".feature .story","https://github.com/search?q=language%3A%22Gherkin%22&type=repositories","linguist"
"Git Attributes","data","","https://github.com/search?q=language%3A%22Git%20Attributes%22&type=repositories","linguist"
"Git Commit","data","","https://github.com/search?q=language%3A%22Git%20Commit%22&type=repositories","linguist"
"Git Config","data",".gitconfig","https://github.com/search?q=language%3A%22Git%20Config%22&type=repositories","linguist"
"Git Revision List","data","","https://github.com/search?q=language%3A%22Git%20Revision%20List%22&type=repositories","linguist"
"GitHub Actions YAML","curated","","https://docs.github.com/actions","curated"
"Gleam","programming",".gleam","https://gleam.run","linguist"
"Glimmer JS","programming",".gjs","https://github.com/search?q=language%3A%22Glimmer%20JS%22&type=repositories","linguist"
